key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,6,PF,strong,3,81,14,1,0,0,response1disk_5,4,6,5.981035,2,1,1,0,0,rectangle_8,2,1,1,0,0,,,3,2,1,1,0,0,,0,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,3,PF,weak,3,70,-80,1,0,0,response3disk_5,7,4,0.768135,7,3,1,0,0,rectangle_8,7,3,1,0,0,,,3,7,3,1,0,0,,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,0.96959,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.12346,9,strong,49,-73,1,0,0,response3disk,7,1,17,-3,1,0,0,rectangle,17,-3,1,0,0,,2,0.00276,17,-3,1,0,0,0,0,0,100,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,1,1.064835,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,strong,-52,18,1,0,0,response7disk,7,2,-10,-6,1,0,0,rectangle,-10,-6,1,0,0,,2,0.00031,-10,-6,1,0,0,0,1,1,34,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,1,0.54986,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,strong,-70,35,1,0,0,response7disk,6,3,8,0,1,0,0,rectangle,8,0,1,0,0,,0,0.003765,8,0,1,0,0,0,2,2,40,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,6,0.54957,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,weak,78,18,1,0,0,response1disk,2,4,12,1,1,0,0,rectangle,12,1,1,0,0,,2,0.00387,12,1,1,0,0,0,3,3,24,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,0.54972,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,66,20,1,0,0,response1disk,5,5,12,-1,1,0,0,rectangle,12,-1,1,0,0,,5,0.00381,12,-1,1,0,0,0,4,4,152,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,5,0.681665,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,strong,74,-73,1,0,0,response3disk,6,6,6,3,1,0,0,rectangle,6,3,1,0,0,,6,0.001685,6,3,1,0,0,0,5,5,122,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,0,0.633145,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,-37,69,1,0,0,response7disk,5,7,12,0,1,0,0,rectangle,12,0,1,0,0,,6,0.000285,12,0,1,0,0,0,6,6,134,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,3,0.68214,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,-63,-79,1,0,0,response5disk,6,8,-4,1,1,0,0,rectangle,73,27,1,0,0,6,6,2.81652,1,-6,1,0,0,0,7,7,161,1,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,1,0.543565,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,weak,-62,24,1,0,0,response7disk,3,9,17,-15,1,0,0,rectangle,17,-15,1,0,0,5,0,0.00107,17,-15,1,0,0,0,8,8,26,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603d75c3cd5c8ec37b0700a1,606c0cc47622866935915eb7,2021-04-06_09h25.14.719,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.52181548,17.33069921,17.01020767,16.9388997,16.64738095,17.01020767,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,0.555605,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,strong,66,28,1,0,0,response1disk,6,10,9,4,1,0,0,rectangle,9,4,1,0,0,5,5,0.00279,9,4,1,0,0,0,9,9,95,1,0,,,,,,,,,,,,,,,,,,,,,
