key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,6,PF,weak,3,-69,-93.5,1,0,0,response5disk_5,7,3,1.62452,-5,1.5,1,0,0,rectangle_8,-5,1.5,1,0,0,,,1,-5,1.5,1,0,0,,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,4,PF,strong,3,-69,-32.5,1,0,0,response5disk_5,3,2,1.81134,-16,-3.5,1,0,0,rectangle_8,-16,-3.5,1,0,0,,,1,-16,-3.5,1,0,0,,0,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,4,2.459035,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.06366,6,weak,17,-81.5,1,0,0,response3disk,9,1,-6,1.5,1,0,0,rectangle,-6,1.5,1,0,0,,0,0.002965,-6,1.5,1,0,0,0,0,0,45,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,2,1.340255,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,-77,-53.5,1,0,0,response5disk,4,2,10,5.5,1,0,0,rectangle,10,5.5,1,0,0,,0,0.00025,10,5.5,1,0,0,0,1,1,54,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,3,1.74229,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,-38,-75.5,1,0,0,response5disk,3,3,8,-2.5,1,0,0,rectangle,8,-2.5,1,0,0,,7,0.002375,8,-2.5,1,0,0,0,2,2,21,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,5,1.97538,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,85,-41.5,1,0,0,response3disk,5,4,14,-2.5,1,0,0,rectangle,14,-2.5,1,0,0,,7,0.000355,14,-2.5,1,0,0,0,3,3,152,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,2.627485,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,30,-90.5,1,0,0,response3disk,4,5,-10,3.5,1,0,0,rectangle,-10,3.5,1,0,0,,7,0.000405,-10,3.5,1,0,0,0,4,4,135,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,2,1.991985,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,strong,-73,-38.5,1,0,0,response5disk,5,6,2,5.5,1,0,0,rectangle,2,5.5,1,0,0,,0,0.00207,2,5.5,1,0,0,0,5,5,156,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,2,1.73988,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,-81,-37.5,1,0,0,response5disk,8,7,10,-2.5,1,0,0,rectangle,10,-2.5,1,0,0,,2,0.001325,10,-2.5,1,0,0,0,6,6,48,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602d7e1c3ecd7d7db842933c,606c0c6fbecf1d7b67fb583e,2021-04-06_09h24.51.126,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,17.02555195,16.75748936,16.71570888,16.7303125,16.7187543,16.7303125,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,4,2.24514,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,28,-85.5,1,0,0,response3disk,3,8,2,10.5,1,0,0,rectangle,2,10.5,1,0,0,,4,0.001575,2,10.5,1,0,0,0,7,7,109,1,0,,,,,,,,,,,,,,,,,,,,,
