key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,4,PF,strong,3,-41.90234375,-106.0351563,1,0,0,response5disk_5,5,3,1.966695,-38.69140625,10.4921875,1,0,0,rectangle_8,-116.3164063,-51.96875,1,0,0,2,-20.09765625,-13.1953125,1,0,0,0,5,5,2,1,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,2,PF,weak,3,31.4609375,-132.3476563,1,0,0,response3disk_5,4,4,2.00842,-13.60546875,15.27734375,1,0,0,rectangle_8,-13.60546875,15.27734375,1,0,0,2,-13.60546875,15.27734375,1,0,0,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,3.098015,,,,,,,,,,,,,,,,,,,,,,,,,space,2.738405,4,strong,77.80859375,36.80859375,1,0,0,response1disk,1,1,13.390625,2.6875,1,0,0,rectangle,13.390625,2.6875,1,0,0,,3,0.00125,13.390625,2.6875,1,0,0,0,0,0,102,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,6,2.21198,,,,,,,,,,,,,,,,,,,,,,,,,,,1,weak,98.421875,34.8828125,1,0,0,response1disk,4,2,-38.02734375,14.046875,1,0,0,rectangle,-38.02734375,14.046875,1,0,0,,7,0.000825,-38.02734375,14.046875,1,0,0,0,1,1,139,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,3,1.907155,,,,,,,,,,,,,,,,,,,,,,,,,,,5,strong,-54.796875,-127.4609375,1,0,0,response5disk,6,3,30.515625,8.25,1,0,0,rectangle,30.515625,8.25,1,0,0,,7,0.00016,30.515625,8.25,1,0,0,0,2,2,12,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,1.4945,,,,,,,,,,,,,,,,,,,,,,,,,,,1,weak,81.6875,-58.234375,1,0,0,response3disk,7,4,19.4375,-15.9140625,1,0,0,rectangle,19.4375,-15.9140625,1,0,0,,7,0.00011,19.4375,-15.9140625,1,0,0,0,3,3,150,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,2,2.942245,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,-128.9726563,-92.41796875,1,0,0,response5disk,9,5,20.0703125,-0.80859375,1,0,0,rectangle,20.0703125,-0.80859375,1,0,0,,6,0.00078,20.0703125,-0.80859375,1,0,0,0,4,4,42,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,2.160275,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,72.68359375,-127.9023438,1,0,0,response3disk,9,6,17.2734375,-18.22265625,1,0,0,rectangle,17.2734375,-18.22265625,1,0,0,,7,0.00078,17.2734375,-18.22265625,1,0,0,0,5,5,123,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,1.895015,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,103.8789063,-86.34765625,1,0,0,response3disk,9,7,19.44140625,9.859375,1,0,0,rectangle,49.8359375,-94.16796875,1,0,0,4,4,2.76717,0.05078125,1.11328125,1,0,0,0,6,6,136,1,1,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f2e0553d21e3216a80457b2,606c0d6d674faaea52a59aa4,2021-04-06_02h28.03.825,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6067542a4a25243f4d7d4fcf,17.18870438,16.66973577,16.66969231,16.66722156,16.66647833,16.66969231,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,2.11184,,,,,,,,,,,,,,,,,,,,,,,,,,,3,strong,40.8671875,-103.859375,1,0,0,response3disk,9,8,13.453125,-10.80859375,1,0,0,rectangle,13.453125,-10.80859375,1,0,0,4,3,0.000855,13.453125,-10.80859375,1,0,0,0,7,7,143,1,0,,,,,,,,,,,,,,,,,,,,,
