key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,2,PF,weak,3,45,-98,1,0,0,response3disk_5,6,4,1.89897,-6,9,1,0,0,rectangle_8,-6,9,1,0,0,,2,-6,9,1,0,0,,0,5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,3,PF,weak,3,-33,-99,1,0,0,response5disk_5,5,3,5.37766,3,1,1,0,0,rectangle_8,3,1,1,0,0,,2,3,1,1,0,0,,0,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,10.77427,,,,,,,,,,,,,,,,,,,,,,,,,space,4.398775,1,weak,74,-53,1,0,0,response3disk,7,1,-6,0,1,0,0,rectangle,-6,0,1,0,0,,5,0.003395,-6,0,1,0,0,0,0,0,150,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,2.175465,,,,,,,,,,,,,,,,,,,,,,,,,,,1,weak,79,-52,1,0,0,response3disk,5,2,-23,5,1,0,0,rectangle,-23,5,1,0,0,,6,0.0024,-23,5,1,0,0,0,1,1,28,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,2,2.333335,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,-85,-48,1,0,0,response5disk,7,3,14,-5,1,0,0,rectangle,14,-5,1,0,0,,4,0.002415,14,-5,1,0,0,0,2,2,146,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,6.36987,,,,,,,,,,,,,,,,,,,,,,,,,,,4,strong,27,-107,1,0,0,response3disk,2,4,-4,2,1,0,0,rectangle,-4,2,1,0,0,,0,0.00173,-4,2,1,0,0,0,3,3,13,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,4,2.53945,,,,,,,,,,,,,,,,,,,,,,,,,,,2,weak,42,-99,1,0,0,response3disk,8,5,-5,2,1,0,0,rectangle,-5,2,1,0,0,,7,0.002125,-5,2,1,0,0,0,4,4,52,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,4,1.20997,,,,,,,,,,,,,,,,,,,,,,,,,,,2,weak,38,-87,1,0,0,response3disk,4,6,-11,0,1,0,0,rectangle,-11,0,1,0,0,,6,0.00209,-11,0,1,0,0,0,5,5,127,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,1,1.563045,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,-92,36,1,0,0,response7disk,9,7,2,12,1,0,0,rectangle,2,12,1,0,0,,4,0.00212,2,12,1,0,0,0,6,6,105,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60480c2fe7f49a1419ca1cf1,606c0eae442b8c99a7f27c15,2021-04-06_02h35.30.783,Colour_Similarity_Experiment,2020.2.10,Win32,60,6067542a4a25243f4d7d4fcf,18.09530738,16.88857285,17.35356,16.72039546,16.69781798,16.88857285,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,3,1.90703,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,-33,-92,1,0,0,response5disk,8,8,13,-5,1,0,0,rectangle,13,-5,1,0,0,,4,0.00033,13,-5,1,0,0,0,7,7,124,1,0,,,,,,,,,,,,,,,,,,,,,
