key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,7,PF,strong,3,58,-91,1,0,0,response3disk_5,7,4,4.116975,-7,0,1,0,0,rectangle_8,-7,0,1,0,0,,,3,-7,0,1,0,0,,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,8,PF,weak,3,123,40,1,0,0,response1disk_5,5,6,2.350425,35,-2,1,0,0,rectangle_8,35,-2,1,0,0,,,3,35,-2,1,0,0,,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,3,1.815905,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.717185,8,weak,-41,-64,1,0,0,response5disk,6,1,2,-2,1,0,0,rectangle,-96,46,1,0,0,response7disk_3,1,1,2.930755,-9,-7,1,0,0,rectangle,0,0,0,161,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,2.14962,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,100,-51,1,0,0,response3disk,2,2,3,1,1,0,0,rectangle,3,1,1,0,0,,1,2,0.00051,3,1,1,0,0,,0,1,1,108,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,2.12937,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,45,-117,1,0,0,response3disk,9,3,-17,-6,1,0,0,rectangle,-17,-6,1,0,0,,1,2,0.00011,-17,-6,1,0,0,,0,2,2,17,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,3,3.47926,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,strong,-51,-85,1,0,0,response5disk,3,4,4,5,1,0,0,rectangle,-54,112,1,0,0,response7disk_3,0,0,2.366875,7,1,1,0,0,rectangle,0,3,3,104,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,2.049795,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,85,-59,1,0,0,response3disk,6,5,0,-7,1,0,0,rectangle,0,-7,1,0,0,,0,1,0.000495,0,-7,1,0,0,,0,4,4,120,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,1,3.89644,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,-95,41,1,0,0,response7disk,8,6,-12,-16,1,0,0,rectangle,-12,-16,1,0,0,,0,0,0.000515,-12,-16,1,0,0,,0,5,5,133,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,4.59655,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,98,-62,1,0,0,response3disk,2,7,-3,-1,1,0,0,rectangle,-3,-1,1,0,0,,0,1,0.00053,-3,-1,1,0,0,,0,6,6,157,1,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604f48ad0cf8d55887cb172e,606841a6f508cd75d6c4050c,2021-04-03_12h23.39.941,Colour_Similarity_Experiment,2020.2.10,Win32,60,60674ec340277cd6a308bc9f,71.10386882,16.67728867,16.66189791,16.6797032,16.66673806,16.67728867,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,5.71666,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,strong,89,46,1,0,0,response1disk,8,8,8,-10,1,0,0,rectangle,120,53,1,0,0,response1disk_3,6,6,2.41667,4,-6,1,0,0,rectangle,0,7,7,97,1,1,,,,,,,,,,,,,,,,,,,
