key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,5,PF,3,weak,68.00001246,79.19997033,1,0,0,response1disk_5,2,7,6.087135,29.60006071,-1.600006461,1,0,0,rectangle_8,29.60006071,-1.600006461,1,0,0,2,29.60006071,-1.600006461,1,0,0,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,2,PF,3,weak,107.200013,31.19996961,1,0,0,response1disk_5,5,6,7.69252,15.20001167,4.799993634,1,0,0,rectangle_8,15.20001167,4.799993634,1,0,0,2,15.20001167,4.799993634,1,0,0,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,7,11.385855,,,,,,,,,,,,,,,,,,,,,,,,,space,6.43198,4,weak,48.00001216,67.19997015,1,0,0,response1disk,8,1,6.400011539,-4.000006497,1,0,0,rectangle,6.400011539,-4.000006497,1,0,0,,2,0.004275,6.400011539,-4.000006497,1,0,0,0,0,0,124,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,7,3.835925,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,41.60006089,56.79999441,1,0,0,response1disk,3,2,0.800011456,-7.200006545,1,0,0,rectangle,0.800011456,-7.200006545,1,0,0,,4,0.000755,0.800011456,-7.200006545,1,0,0,0,1,1,99,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,4,3.085615,,,,,,,,,,,,,,,,,,,,,,,,,,,2,strong,45.60006095,-70.40000749,1,0,0,response3disk,2,3,28.80001187,-4.000006497,1,0,0,rectangle,28.80001187,-4.000006497,1,0,0,,0,0.00335,28.80001187,-4.000006497,1,0,0,0,2,2,142,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,4,2.78387,,,,,,,,,,,,,,,,,,,,,,,,,,,7,strong,38.40001202,-71.2000075,1,0,0,response3disk,3,4,8.000011563,2.399993598,1,0,0,rectangle,8.000011563,2.399993598,1,0,0,,5,0.00327,8.000011563,2.399993598,1,0,0,0,3,3,73,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,5,3.18301,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,76.00001258,-48.00000715,1,0,0,response3disk,6,5,-11.19998872,-8.800006568,1,0,0,rectangle,43.20001209,85.59999484,1,0,0,7,7,5.55756,27.20001185,-6.400006533,1,0,0,0,4,4,161,1,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,7,2.335325,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,44.80001211,68.79999459,1,0,0,response1disk,1,6,16.00001168,-6.4373E-06,1,0,0,rectangle,98.40001291,-64.8000074,1,0,0,5,5,3.083465,8.000011563,7.19999367,1,0,0,0,5,5,159,1,1,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,2,4.504735,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,-90.39994107,-48.80000716,1,0,0,response5disk,9,7,8.800011575,-4.800006509,1,0,0,rectangle,8.800011575,-4.800006509,1,0,0,5,4,0.001375,8.800011575,-4.800006509,1,0,0,0,6,6,75,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602c1fc2c083e34a7ba2894b,606a0f38a5fd39d4018ecee0,2021-04-04_15h11.52.249,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,316.7752003,17.06000763,16.71736919,16.69777184,16.73042827,16.73042827,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,6,3.2006,,,,,,,,,,,,,,,,,,,,,,,,,,,3,strong,97.6000129,49.5999943,1,0,0,response1disk,5,8,16.80001169,-4.000006497,1,0,0,rectangle,16.80001169,-4.000006497,1,0,0,5,5,0.00123,16.80001169,-4.000006497,1,0,0,0,7,7,101,1,0,,,,,,,,,,,,,,,,,,,,,
