key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,8,PF,3,strong,126.0000419,46.66660591,1,0,0,response1disk_5,7,6,1.083405,-22.6666292,-10.66668844,1,0,0,rectangle_8,114.6667082,47.33331329,1,0,0,6,-13.99996227,-16.66668862,1,0,0,0,5,5,2,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,3,PF,3,strong,93.33337426,-32.6666891,1,0,0,response3disk_5,3,5,2.831945,6.666786393,8.666645467,1,0,0,rectangle_8,6.666786393,8.666645467,1,0,0,6,6.666786393,8.666645467,1,0,0,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,4,2.199735,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.077875,1,weak,41.33337271,-74.00002366,1,0,0,response3disk,7,1,-14.66662896,-2.666688204,1,0,0,rectangle,-14.66662896,-2.666688204,1,0,0,,5,0.000735,-14.66662896,-2.666688204,1,0,0,0,0,0,150,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,4,1.166775,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,strong,52.66678776,-100.0000244,1,0,0,response3disk,3,2,-0.66662854,1.999978602,1,0,0,rectangle,-0.66662854,1.999978602,1,0,0,,5,0.00011,-0.66662854,1.999978602,1,0,0,0,1,1,77,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,5,1.116715,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,weak,59.33337325,-48.66668957,1,0,0,response3disk,9,3,-11.99996221,-12.6666885,1,0,0,rectangle,-11.99996221,-12.6666885,1,0,0,,7,0.000425,-11.99996221,-12.6666885,1,0,0,0,2,2,45,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,6,1.083435,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,126.0000419,40.66660573,1,0,0,response1disk,4,4,-17.99996239,5.999978721,1,0,0,rectangle,-17.99996239,5.999978721,1,0,0,,4,0.00042,-17.99996239,5.999978721,1,0,0,0,3,3,70,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,5,2.203025,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,strong,95.33337432,-36.66668922,1,0,0,response3disk,6,5,13.33337188,-2.000021517,1,0,0,rectangle,13.33337188,-2.000021517,1,0,0,,5,0.00046,13.33337188,-2.000021517,1,0,0,0,4,4,122,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,5,0.95006,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,88.00004077,-39.33335596,1,0,0,response3disk,7,6,-4.666628659,-2.000021517,1,0,0,rectangle,-4.666628659,-2.000021517,1,0,0,,5,0.00007,-4.666628659,-2.000021517,1,0,0,0,5,5,18,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,5,0.716695,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,weak,123.3333752,-64.00002337,1,0,0,response3disk,7,7,8.666786452,3.333311975,1,0,0,rectangle,8.666786452,3.333311975,1,0,0,,4,0.00045,8.666786452,3.333311975,1,0,0,0,6,6,50,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b4b679dff74970001256d36,606a0f9a7f6602c70cdb5971,2021-04-04_20h13.04.445,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.15491903,16.70967049,16.66633663,16.66528317,16.66775223,16.66775223,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,5,0.833405,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,weak,87.33337408,-60.66668993,1,0,0,response3disk,8,8,12.66678657,-16.66668862,1,0,0,rectangle,12.66678657,-16.66668862,1,0,0,,1,0.00043,12.66678657,-16.66668862,1,0,0,0,7,7,140,1,0,,,,,,,,,,,,,,,,,,,,,
