key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,7,PF,3,strong,-28.79998899,-88.80000776,1,0,0,response5disk_5,8,3,6.896625,4.800011516,7.19999367,1,0,0,rectangle_8,4.800011516,7.19999367,1,0,0,7,4.800011516,7.19999367,1,0,0,0,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,6,PF,3,weak,108.8000131,39.19996973,1,0,0,response1disk_5,1,6,4.29876,2.40001148,-6.4373E-06,1,0,0,rectangle_8,2.40001148,-6.4373E-06,1,0,0,7,2.40001148,-6.4373E-06,1,0,0,0,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,5,3.812565,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.37513,3,strong,57.6000123,-40.00000703,1,0,0,response3disk,8,1,-8.799988687,1.599993587,1,0,0,rectangle,-8.799988687,1.599993587,1,0,0,,4,0.002675,-8.799988687,1.599993587,1,0,0,0,0,0,44,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,2,8.029175,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,-100.7999901,-43.20000708,1,0,0,response5disk,9,2,-4.799988627,-0.800006449,1,0,0,rectangle,-4.799988627,-0.800006449,1,0,0,,5,0.00139,-4.799988627,-0.800006449,1,0,0,0,1,1,42,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,1,4.780535,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,-89.59998989,32.79999405,1,0,0,response7disk,8,3,-28.79998899,-0.800006449,1,0,0,rectangle,-28.79998899,-0.800006449,1,0,0,,2,0.00139,-28.79998899,-0.800006449,1,0,0,0,2,2,153,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,4,4.73241,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,35.20001197,-96.00000787,1,0,0,response3disk,4,4,-19.99998885,-2.400006473,1,0,0,rectangle,-19.99998885,-2.400006473,1,0,0,,5,0.0018,-19.99998885,-2.400006473,1,0,0,0,3,3,56,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,4,9.0486,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,weak,34.40001196,-76.00000757,1,0,0,response3disk,9,5,-5.599988639,-4.000006497,1,0,0,rectangle,-5.599988639,-4.000006497,1,0,0,,0,0.001355,-5.599988639,-4.000006497,1,0,0,0,4,4,10,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,3,2.419155,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,weak,-43.1999892,-109.6000569,1,0,0,response5disk,5,6,3.200011492,2.399993598,1,0,0,rectangle,3.200011492,2.399993598,1,0,0,,7,0.0013,3.200011492,2.399993598,1,0,0,0,5,5,66,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,5,2.96642,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,weak,84.0000127,-47.20000714,1,0,0,response3disk,5,7,7.200011551,-6.400006533,1,0,0,rectangle,7.200011551,-6.400006533,1,0,0,,5,0.001465,7.200011551,-6.400006533,1,0,0,0,6,6,92,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,3,1.77844,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,-34.39994024,-107.200008,1,0,0,response5disk,6,8,2.40001148,-9.60000658,1,0,0,rectangle,2.40001148,-9.60000658,1,0,0,,3,0.001405,2.40001148,-9.60000658,1,0,0,0,7,7,91,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,strong,,,,,,,,6,2.014095,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,112.8000131,30.39999402,1,0,0,response1disk,5,9,-15.99998879,3.19999361,1,0,0,rectangle,-15.99998879,3.19999361,1,0,0,,6,0.001285,-15.99998879,3.19999361,1,0,0,0,8,8,152,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f011e4abcc6d126f234516c,606a0fd656eb9aa6d45444a1,2021-04-04_21h13.41.123,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,17.44891844,16.7472541,16.6825,16.67521006,16.66178179,16.6825,,,,,,,,,,,,,,,,,,,,PF,3,weak,,,,,,,,5,1.997885,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,weak,96.80001289,-64.00000739,1,0,0,response3disk,6,10,16.00001168,-3.200006485,1,0,0,rectangle,16.00001168,-3.200006485,1,0,0,,1,0.001355,16.00001168,-3.200006485,1,0,0,0,9,9,113,1,0,,,,,,,,,,,,,,,,,,,,,
