key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mask_frames,maskCon,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Catch,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,5,PF,6,weak,125,50,1,0,0,response1disk_5,4,6,4.771935,-6,7,1,0,0,rectangle_8,41,-96,1,0,0,response3disk_7,4,4,7,-8,1,0,0,rectangle_4,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,8,PF,6,strong,-114,-55,1,0,0,response5disk_5,9,2,4.255385,1,5,1,0,0,rectangle_8,1,5,1,0,0,,,4,1,5,1,0,0,,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,5,4.341275,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.404875,7,strong,92,-47,1,0,0,response3disk,5,1,0,-2,1,0,0,rectangle,0,-2,1,0,0,,7,0.00235,0,-2,1,0,0,0,0,0,156,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,weak,,,,,,,,6,2.592125,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,118,55,1,0,0,response1disk,7,2,6,1,1,0,0,rectangle,6,1,1,0,0,,5,0.00126,6,1,1,0,0,0,1,1,121,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,3,3.12513,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,-80,-112,1,0,0,response5disk,8,3,-4,3,1,0,0,rectangle,-4,3,1,0,0,,3,0.00161,-4,3,1,0,0,0,2,2,27,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,6,1.833075,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,strong,100,75,1,0,0,response1disk,2,4,2,-1,1,0,0,rectangle,2,-1,1,0,0,,7,0.001865,2,-1,1,0,0,0,3,3,13,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,weak,,,,,,,,2,2.766585,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,weak,-103,-66,1,0,0,response5disk,3,5,10,-2,1,0,0,rectangle,10,-2,1,0,0,,0,0.001485,10,-2,1,0,0,0,4,4,4,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,2,1.10004,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,strong,-107,-54,1,0,0,response5disk,3,6,-9,-9,1,0,0,rectangle,-9,-9,1,0,0,,3,0.00133,-9,-9,1,0,0,0,5,5,25,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,weak,,,,,,,,6,1.84198,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,109,52,1,0,0,response1disk,4,7,13,5,1,0,0,rectangle,13,5,1,0,0,,1,0.001275,13,5,1,0,0,0,6,6,78,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,weak,,,,,,,,3,1.932915,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,-44,-118,1,0,0,response5disk,3,8,-4,-13,1,0,0,rectangle,-4,-13,1,0,0,,0,0.00151,-4,-13,1,0,0,0,7,7,109,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,2,1.258735,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,strong,-89,-64,1,0,0,response5disk,8,9,-38,-15,1,0,0,rectangle,123,-53,1,0,0,5,5,7.93527,11,-12,1,0,0,0,8,8,97,1,1,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,6,2.45844,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,122,64,1,0,0,response1disk,6,10,-5,4,1,0,0,rectangle,-5,4,1,0,0,5,1,0.001485,-5,4,1,0,0,0,9,9,117,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,weak,,,,,,,,4,1.891585,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,weak,54,-123,1,0,0,response3disk,9,11,-9,2,1,0,0,rectangle,-9,2,1,0,0,5,6,0.00143,-9,2,1,0,0,0,10,10,79,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,5,2.16665,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,strong,109,-62,1,0,0,response3disk,1,12,25,2,1,0,0,rectangle,25,2,1,0,0,5,2,0.00462,25,2,1,0,0,0,11,11,125,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,5,1.450125,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,85,-35,1,0,0,response3disk,3,13,23,3,1,0,0,rectangle,23,3,1,0,0,5,7,0.0011,23,3,1,0,0,0,12,12,141,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,weak,,,,,,,,4,1.79157,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,weak,61,-125,1,0,0,response3disk,3,14,1,0,1,0,0,rectangle,1,0,1,0,0,5,1,0.00137,1,0,1,0,0,0,13,13,69,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,4,1.183175,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,32,-107,1,0,0,response3disk,4,15,-5,3,1,0,0,rectangle,-5,3,1,0,0,5,3,0.001695,-5,3,1,0,0,0,14,14,88,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5baf06d756161d0001fe6dde,606a0f19fdff34be840b640b,2021-04-04_21h15.37.765,Colour_Similarity_Experiment,2020.2.10,Win32,60,60675255c767bca6388caeee,8.348204999,8.694109108,8.332488288,8.344062857,8.33653917,8.344062857,,,,,,,,,,,,,,,,,,,,PF,6,strong,,,,,,,,5,1.92513,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,strong,115,-64,1,0,0,response3disk,5,16,19,-10,1,0,0,rectangle,19,-10,1,0,0,5,3,0.000195,19,-10,1,0,0,0,15,15,19,1,0,,,,,,,,,,,,,,,,,,,,,
