key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,5,PF,strong,3,-26.39994012,-97.60005672,1,0,0,response5disk_5,7,3,3.083395,13.60006047,-3.200006485,1,0,0,rectangle_8,13.60006047,-3.200006485,1,0,0,,,3,13.60006047,-3.200006485,1,0,0,,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,6,PF,weak,3,68.00001246,-49.60000718,1,0,0,response3disk_5,3,5,3.618935,0.800011456,-3.200006485,1,0,0,rectangle_8,0.800011456,-3.200006485,1,0,0,,,3,0.800011456,-3.200006485,1,0,0,,0,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,2.280675,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.250515,5,weak,56.80001229,-30.40000689,1,0,0,response3disk,9,1,-1.59998858,-0.800006449,1,0,0,rectangle,115.2000132,43.19996979,1,0,0,response1disk_3,6,6,1,5.293815,1.600060296,-6.4373E-06,1,0,0,rectangle,0,0,0,136,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,4,1.93123,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,36.80001199,-60.80000734,1,0,0,response3disk,6,2,-7.999988675,-6.4373E-06,1,0,0,rectangle,-7.999988675,-6.4373E-06,1,0,0,,6,2,0,0.000915,-7.999988675,-6.4373E-06,1,0,0,,0,1,1,148,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,5,1.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,79.20001262,-54.40000725,1,0,0,response3disk,1,3,2.40001148,-2.400006473,1,0,0,rectangle,2.40001148,-2.400006473,1,0,0,,6,7,0,0.00122,2.40001148,-2.400006473,1,0,0,,0,2,2,151,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,3,2.396045,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,-18.39994,-77.60000759,1,0,0,response5disk,8,4,-3.999988616,5.599993646,1,0,0,rectangle,-3.999988616,5.599993646,1,0,0,,6,3,0,0.001005,-3.999988616,5.599993646,1,0,0,,0,3,3,27,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,0.750595,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,36.80001199,-77.60000759,1,0,0,response3disk,9,5,-2.399939764,-2.400006473,1,0,0,rectangle,-2.399939764,-2.400006473,1,0,0,,6,5,0,0.000645,-2.399939764,-2.400006473,1,0,0,,0,4,4,17,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,2,1.98636,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,-62.39994066,-57.6000073,1,0,0,response5disk,5,6,8.800011575,3.999993622,1,0,0,rectangle,8.800011575,3.999993622,1,0,0,,6,4,0,0.000615,8.800011575,3.999993622,1,0,0,,0,5,5,49,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,4,0.986545,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,weak,39.20001203,-90.40000778,1,0,0,response3disk,3,7,1.14441E-05,-4.000006497,1,0,0,rectangle,1.14441E-05,-4.000006497,1,0,0,,6,4,0,0.000125,1.14441E-05,-4.000006497,1,0,0,,0,6,6,109,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5df14bb169a117069e70b11d,6036d829c86f840bc7dbe8ae,2021-02-24_22h53.07.543,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,14.04357868,14.54420487,16.66758221,16.68217641,16.68515678,16.14478007,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,2,1.06997,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,weak,-75.19998968,-49.60000718,1,0,0,response5disk,2,8,1.600060296,-6.4373E-06,1,0,0,rectangle,-103.1999901,-48.00000715,1,0,0,response5disk_3,6,2,1,3.798245,8.000011563,-5.600006521,1,0,0,rectangle,0,7,7,36,1,,,,,,,,,,,,,,,,,,,
