key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,8,PF,strong,3,82,46,1,0,0,response1disk_5,4,6,2.806,3,1,1,0,0,rectangle_8,3,1,1,0,0,2,3,1,1,0,0,0,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,1,PF,strong,3,-58,-22,1,0,0,response5disk_5,9,2,1.538,-9,-3,1,0,0,rectangle_8,-9,-3,1,0,0,2,-9,-3,1,0,0,0,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,3,5.127,,,,,,,,,,,,,,,,,,,,,,,,,space,45.116,3,weak,-42,-97,1,0,0,response5disk,2,1,-7,4,1,0,0,rectangle,86,-43,1,0,0,response3disk_3,5,5,1,3.426,3,2,1,0,0,rectangle,0,0,0,36,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,7,2.522,,,,,,,,,,,,,,,,,,,,,,,,,,,7,strong,56,80,1,0,0,response1disk,1,2,6,-8,1,0,0,rectangle,6,-8,1,0,0,,5,4,0,0.002,6,-8,1,0,0,,0,1,1,132,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,1,2.539,,,,,,,,,,,,,,,,,,,,,,,,,,,9,strong,-69,39,1,0,0,response7disk,9,3,2,-6,1,0,0,rectangle,2,-6,1,0,0,,5,2,0,0.001,2,-6,1,0,0,,0,2,2,17,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,7,1.854,,,,,,,,,,,,,,,,,,,,,,,,,,,8,weak,35,69,1,0,0,response1disk,2,4,1,-1,1,0,0,rectangle,1,-1,1,0,0,,5,5,0,0.001,1,-1,1,0,0,,0,3,3,83,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,7,1.252,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,44,76,1,0,0,response1disk,7,5,3,0,1,0,0,rectangle,3,0,1,0,0,,5,5,0,0,3,0,1,0,0,,0,4,4,121,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,5,1.988,,,,,,,,,,,,,,,,,,,,,,,,,,,6,weak,73,-34,1,0,0,response3disk,3,6,-1,-7,1,0,0,rectangle,-1,-7,1,0,0,,5,4,0,0.002,-1,-7,1,0,0,,0,5,5,26,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,0,1.071,,,,,,,,,,,,,,,,,,,,,,,,,,,7,weak,-38,65,1,0,0,response7disk,7,7,13,14,1,0,0,rectangle,13,14,1,0,0,,5,0,0,0.002,13,14,1,0,0,,0,6,6,51,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,3,1.736,,,,,,,,,,,,,,,,,,,,,,,,,,,1,weak,-35,-65,1,0,0,response5disk,9,8,-3,-12,1,0,0,rectangle,-3,-12,1,0,0,,5,2,0,0.001,-3,-12,1,0,0,,0,7,7,15,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,6036d8b4aeeccd86578d424e,2021-02-24_22h55.45.624,Colour_Similarity_Experiment,2020.2.10,MacIntel,60,6036d0d9a84aa1626184a6ef,19.23684211,17.2281746,17.5703125,18.17241379,18.2519084,17.80570232,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,4,1.737,,,,,,,,,,,,,,,,,,,,,,,,,,,2,strong,42,-74,1,0,0,response3disk,1,9,5,-11,1,0,0,rectangle,5,-11,1,0,0,,5,1,0,0.002,5,-11,1,0,0,,0,8,8,85,1,,,,,,,,,,,,,,,,,,,
