key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,6,PF,strong,3,51,110,1,0,0,response1disk_5,5,7,2.14929,-2,3,1,0,0,rectangle_8,-2,3,1,0,0,,,4,-2,3,1,0,0,,0,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,7,PF,weak,3,49,102,1,0,0,response1disk_5,2,7,1.580445,-10,6,1,0,0,rectangle_8,-10,6,1,0,0,,,4,-10,6,1,0,0,,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,7,1.349005,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.45574,4,strong,22,70,1,0,0,response1disk,4,1,4,-1,1,0,0,rectangle,4,-1,1,0,0,,2,0,0.001005,4,-1,1,0,0,0,0,0,84,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,7,1.43334,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,43,93,1,0,0,response1disk,1,2,-1,-3,1,0,0,rectangle,-1,-3,1,0,0,,7,0,0.000535,-1,-3,1,0,0,0,1,1,74,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,7,0.999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,strong,47,93,1,0,0,response1disk,4,3,3,1,1,0,0,rectangle,3,1,1,0,0,,7,0,0.0001,3,1,1,0,0,0,2,2,8,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,7,7.41671,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,strong,46,95,1,0,0,response1disk,4,4,-15,-1,1,0,0,rectangle,-15,-1,1,0,0,,1,0,0.00052,-15,-1,1,0,0,0,3,3,145,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,6,4.70014,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,95,39,1,0,0,response1disk,5,5,-19,-9,1,0,0,rectangle,-19,-9,1,0,0,,5,0,0.000555,-19,-9,1,0,0,0,4,4,152,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,0,4.816715,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,weak,-54,113,1,0,0,response7disk,9,6,10,-6,1,0,0,rectangle,10,-6,1,0,0,,5,0,0.000115,10,-6,1,0,0,0,5,5,106,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,,PF,strong,3,,,,,,,,7,1.350015,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,38,93,1,0,0,response1disk,6,7,6,-10,1,0,0,rectangle,6,-10,1,0,0,,0,0,0.000525,6,-10,1,0,0,0,6,6,37,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e89fb8da9f5aa02cfac7ef1,6036da7cb82463b32a928f19,2021-02-24_23h13.13.673,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,17.23106227,16.66487952,16.66582148,16.66657884,16.66683805,16.66602947,,,,,,,,,,,,,,,,,,,,PF,weak,3,,,,,,,,4,2.41675,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,61,-115,1,0,0,response3disk,5,8,2,19,1,0,0,rectangle,2,19,1,0,0,,4,0,0.00057,2,19,1,0,0,0,7,7,49,1,,,,,,,,,,,,,,,,,,,,,
