key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,realFrameRate1,realFrameRate2,realFrameRate3,realFrameRate4,realFrameRate5,realFrameRate,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,maskCon,mask_frames,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,maskCon1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,3,PF,weak,7,53,-83,1,0,0,response3disk_5,9,4,2.69064,-12,-5,1,0,0,rectangle_8,-133,-67,1,0,0,response5disk_7,2,2,-11,1,0,0,rectangle_4,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,8,PF,strong,7,-149,35,1,0,0,response7disk_5,9,1,2.60991,-14,0,1,0,0,rectangle_8,-14,0,1,0,0,,2,-14,0,1,0,0,,0,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,,PF,weak,7,,,,,,,,0,1.471515,,,,,,,,,,,,,,,,,,,,,,,,,space,3.590935,2,weak,-46,102,1,0,0,response7disk,2,1,5,8,1,0,0,rectangle,5,8,1,0,0,,2,0,0.00229,5,8,1,0,0,0,0,0,14,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,,PF,weak,7,,,,,,,,1,1.618225,,,,,,,,,,,,,,,,,,,,,,,,,,,1,weak,-95,47,1,0,0,response7disk,1,2,4,-17,1,0,0,rectangle,60,121,1,0,0,7,7,1,3.257035,-2,0,1,0,0,0,1,1,76,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,,PF,weak,7,,,,,,,,3,1.78841,,,,,,,,,,,,,,,,,,,,,,,,,,,4,weak,-34,-75,1,0,0,response5disk,7,3,-3,4,1,0,0,rectangle,-3,4,1,0,0,7,5,0,0.001605,-3,4,1,0,0,0,2,2,38,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,,PF,strong,7,,,,,,,,6,1.71947,,,,,,,,,,,,,,,,,,,,,,,,,,,6,strong,104,88,1,0,0,response1disk,8,4,2,2,1,0,0,rectangle,2,2,1,0,0,7,0,0,0.000935,2,2,1,0,0,0,3,3,133,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,,PF,strong,7,,,,,,,,5,2.042075,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,121,-57,1,0,0,response3disk,8,5,-41,3,1,0,0,rectangle,-41,3,1,0,0,7,2,0,0.00115,-41,3,1,0,0,0,4,4,27,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,,PF,strong,7,,,,,,,,7,2.67273,,,,,,,,,,,,,,,,,,,,,,,,,,,1,strong,62,105,1,0,0,response1disk,2,6,0,0,1,0,0,rectangle,0,0,1,0,0,7,3,0,0.001125,0,0,1,0,0,0,5,5,2,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,,PF,strong,7,,,,,,,,3,2.13076,,,,,,,,,,,,,,,,,,,,,,,,,,,2,strong,-79,-114,1,0,0,response5disk,2,7,12,12,1,0,0,rectangle,12,12,1,0,0,7,0,0,0.001465,12,12,1,0,0,0,6,6,142,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f5290ff7ef2f05699c250d6,6036d877e0ec51ef81f678e2,2021-02-24_23h51.56.976,Colour_Similarity_Experiment,2020.2.10,Win32,60,6036d0d9a84aa1626184a6ef,7.044949772,6.972570194,6.953678855,6.950744351,6.944470927,6.955366082,,,,,,,,,,,,,,,,,,,,PF,strong,7,,,,,,,,4,1.85461,,,,,,,,,,,,,,,,,,,,,,,,,,,8,strong,79,-90,1,0,0,response3disk,6,8,-18,1,1,0,0,rectangle,-18,1,1,0,0,7,6,0,0.001145,-18,1,1,0,0,0,7,7,37,1,,,,,,,,,,,,,,,,,,,,,
